Date,OUTPUT
2022-03-14 11:11:40,"<li>Wayne NJ: Affordable housing conflict with Edgewater apartments (<a href=""https://www.northjersey.com/story/news/passaic/wayne/2022/03/14/wayne-nj-affordable-housing-valley-road-conflict-interest-special-master-edgewater-nj/9445446002/"">NorthJersey.com</a>)"
2022-03-15 07:52:33,"<li>Utility shut-offs loom as NJ moratorium ends on March 15 (<a href=""https://www.njspotlightnews.org/video/utility-shut-offs-loom-as-nj-moratorium-ends-on-march-15/"">NJ Spotlight</a>)"
2022-03-15 07:49:32,"<li>Murphy plan would use $305M to build 3,000 affordable housing units (<a href=""https://newjerseymonitor.com/2022/03/14/murphy-plan-would-use-305m-to-build-3000-affordable-housing-units/"">NJ Monitor</a>)"
2022-03-16 11:11:39,"<li>Residents urged to seek aid as utility shutoff moratorium lapses (<a href=""https://newjerseymonitor.com/2022/03/15/residents-urged-to-seek-aid-as-utility-shutoff-moratorium-lapses/"">NJ Monitor</a>)"
,-
2022-03-22 11:25:54,"<li>Some N.J. residents could still be shielded from utility shutoffs even though moratorium ended (<a href=""https://www.nj.com/politics/2022/03/some-nj-residents-could-still-be-shielded-from-utility-shutoffs-even-though-moratorium-ended.html"">NJ.com</a>)"
,-
2022-03-24 12:22:52,"<li>Montclair rent control agreement reached for all apartments (<a href=""https://www.northjersey.com/story/news/essex/montclair/2022/03/24/montclair-nj-rent-control-agreement-apartments/9454390002/"">NorthJersey.com</a>)"
2022-03-24 12:25:20,"<li>Levels of lead in Newark children decreased in recent years, report says (<a href=""https://www.njspotlightnews.org/video/levels-of-lead-in-newark-children-decreased-in-recent-years-report-says/"">NJ Spotlight</a>)"
,-
2022-03-30 11:58:22,"<li>Newark converts old bank into artist live-work space to help spark neighborhood revival (<a href=""https://www.nj.com/essex/2022/03/newark-converts-old-bank-into-artist-live-work-space-to-help-spark-neighborhood-revival.html"">NJ.com</a>)"
,-
2022-04-11 10:11:20,"<li>Remediated EPA Superfund site in Moorestown now considered for non-residential development. (<a href=""https://www.70and73.com/news/remediated-epa-superfund-site-in-moorestown-now-considered-for-non-residential-development/article_6136a0aa-b74a-11ec-9cb3-bb4e4ae767d6.html"">70and73.com</a>)"
2022-04-18 13:35:16,"<li>NJ shore motels are being torn down, leaving unhoused with few options (<a href=""https://www.app.com/story/news/local/communitychange/2022/04/18/nj-motels-closing-torn-down-homeless-shelter/7233141001/"">Asbury Park Press</a>)"
,-
2022-04-19 10:31:44,"<li>How Asbury Park's $2M affordable housing program failed (<a href=""https://www.northjersey.com/story/news/investigations/2022/04/19/asbury-park-nj-affordable-housing-rca-rehabilitation-funding-tenant-displaced/7065971001/"">NorthJersey.com</a>)"
2022-04-19 10:33:30,"<li>Asbury Park affordable housing program funded Airbnb, displaced tenant (<a href=""https://www.northjersey.com/story/news/investigations/2022/04/19/asbury-park-nj-affordable-housing-rca-rehabilitation-funding-mismanagement-airbnb/6614345001/"">NorthJersey.com</a>)"
,-
2022-04-19 14:11:54,"<li>Allegro's proposal for senior-living complex in Mount Laurel includes clearing 465 mature trees. (<a href=""https://www.70and73.com/news/allegros-proposal-for-senior-living-complex-in-mount-laurel-includes-clearing-465-mature-trees/article_6fa6ff90-bff6-11ec-8b72-87a70bb3e45d.html"">70and73.com</a>)"
2022-04-20 12:30:02,"<li>Rent Control Arrives In Montclair; Council Passes Revamped Law (<a href=""https://patch.com/new-jersey/montclair/rent-control-arrives-montclair-council-passes-revamped-law"">Patch</a>)"
2022-04-20 12:36:41,"<li>Gov. Murphy, use federal aid to fulfill your vow for fairer, more affordable N.J., advocates say (<a href=""https://www.nj.com/politics/2022/04/gov-murphy-use-federal-aid-to-fulfill-your-vow-for-fairer-more-affordable-nj-advocates-say.html"">NJ.com</a>)"
,-
2022-04-21 13:42:56,"<li>Medford residents fight 972-unit storage building on Old Marlton Pike; zoning board delays decision. (<a href=""https://www.70and73.com/news/medford-residents-fight-972-unit-storage-building-on-old-marlton-pike-zoning-board-delays-decision/article_0885e454-c0fd-11ec-a1dd-d39bfa1fb757.html"">70and73.com</a>)"
2022-04-25 09:32:41,"<li>Fewer homes on the market than last year. How all 21 N.J. counties rank. (<a href=""https://www.nj.com/news/2022/04/fewer-homes-on-the-market-than-last-year-how-all-21-nj-counties-rank.html"">NJ.com</a>)"
2022-04-25 09:36:34,"<li>Demand for Jersey Shore summer rentals normalizing, but prices haven’t come down (<a href=""https://www.nj.com/news/2022/04/demand-for-jersey-shore-summer-rentals-normalizing-but-prices-havent-come-down.html"">NJ.com</a>)"
,-
2022-04-26 09:01:21,"<li>Mount Laurel zoning board vote on Monday night killed Allegro plans for senior-living facility. (<a href=""https://www.70and73.com/news/mount-laurel-zoning-board-vote-on-monday-night-killed-allegro-plans-for-senior-living-facility/article_aff5badc-c4fb-11ec-93d6-67cb8cab6077.html"">70and73.com</a>)"
2022-04-26 10:30:54,"<li>365-Unit Development Heads to Jersey City’s Planning Board (<a href=""https://jerseydigs.com/212-230-culver-ave-jersey-city/"">Jersey Digs</a>)"
,-
2022-04-27 10:40:34,"<li>Newark’s Queen returns home to build housing on a troubled block (<a href=""https://www.nj.com/essex/2022/04/newarks-queen-returns-home-to-build-housing-on-a-troubled-block.html"">NJ.com</a>)"
2022-04-27 10:39:05,"<li>Asbury Park affordable housing mismanagement: NJ investigation urged (<a href=""https://www.app.com/story/news/local/new-jersey/2022/04/27/asbury-park-nj-affordable-housing-rehabilitation-funding-mismanagement-state-advocate/7415519001/"">Asbury Park Press</a>)"
2022-04-27 10:41:33,"<li>Bill would expand public assistance access for N.J. families in extreme poverty (<a href=""https://newjerseymonitor.com/2022/04/27/bill-would-expand-public-assistance-access-for-n-j-families-in-extreme-poverty/"">NJ Monitor</a>)"
,-
2022-04-28 16:00:42,"<li>Long Branch NJ Seaview Towers condo plan could get bigger under deal (<a href=""https://www.app.com/story/news/local/redevelopment/2022/04/28/long-branch-nj-seaview-towers-site-redevelopment-condo-deal/7288728001/"">Asbury Park Press</a>)"
2022-04-28 16:00:03,"<li>Fred Daibes, Edgewater NJ developer, pleads guilty to banking crimes (<a href=""https://www.northjersey.com/story/news/crime/2022/04/28/fred-daibes-pleads-guilty-banking-crimes-edgewater-nj/9569655002/"">NorthJersey.com</a>)"
2022-04-28 15:59:53,"<li>N.J. ordered nursing homes to give aides a raise, and most did. The others will face penalties. (<a href=""https://www.nj.com/coronavirus/2022/04/nj-ordered-nursing-homes-to-give-aides-a-raise-and-most-did-the-others-will-face-penalties.html"">NJ.com</a>)"
,-
2022-05-02 10:31:18,"<li>Holmdel NJ affordable housing back on agenda after Hazlet deal (<a href=""https://www.app.com/story/news/local/red-bank-middletown-area/holmdel/2022/05/02/holmdel-nj-affordable-housing-apartments-returns-hazlet-deal/9570797002/"">Asbury Park Press</a>)"
,-
2022-05-03 15:32:29,"<li>NJ to spend $50M buying flooded homes months after Hurricane Ida (<a href=""https://gothamist.com/news/nj-to-spend-50m-buying-flooded-homes-months-after-hurricane-ida"">Gothamist</a>)"
2022-05-03 15:36:54,"<li>Sarlo wants to change NJ affordable housing rules (<a href=""https://www.njspotlightnews.org/2022/05/sen-paul-sarlo-stuns-suggests-need-to-change-nj-affordable-housing-rules-says-may-not-sit-well-with-some-dems/"">NJ Spotlight</a>)"
2022-05-02 11:03:42,"<li>Mount Laurel zoning board to hear plan to convert DoubleTree Suites into senior citizen care facility. (<a href=""https://www.70and73.com/news/mount-laurel-zoning-board-to-hear-plan-to-convert-doubletree-suites-into-senior-citizen-care/article_9deb2e68-c95f-11ec-9490-d7f2bdf92398.html"">70and73.com</a>)"
2022-05-03 15:38:27,"<li>NJ plastic bag ban: Family Promise charity homeless meals for at risk (<a href=""https://www.northjersey.com/story/news/environment/2022/05/03/nj-plastic-bag-ban-family-promise-charity-homeless-meals-risk/9577671002/"">NorthJersey.com</a>)"
,-
